City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kargopol',61.5071,38.9456,10.75,83,6,2.01,RU,1725842222
1,mao,39.8885,4.2658,22.31,83,20,6.17,ES,1725842223
2,ulaangom,49.9811,92.0667,10.44,57,22,1.57,MN,1725842226
3,grytviken,-54.2811,-36.5092,0.61,89,85,2.91,GS,1725842227
4,port-aux-francais,-49.35,70.2167,3.4,87,97,11.35,TF,1725842228
5,nova vicosa,-17.8919,-39.3719,22.38,81,1,3.29,BR,1725842229
6,axim,4.8699,-2.2405,23.76,85,78,2.98,GH,1725842230
7,alofi,-19.0595,-169.9187,25.94,78,40,4.63,NU,1725842231
8,fang,19.9169,99.2145,22.76,100,100,0.99,TH,1725842233
9,troitsko-pechorsk,62.7084,56.1964,6.24,88,7,0.81,RU,1725842234
10,aasiaat,68.7098,-52.8699,1.24,81,67,2.01,GL,1725842235
11,waitangi,-43.9535,-176.5597,13.23,83,100,4.92,NZ,1725842236
12,tiksi,71.6872,128.8694,7.77,76,100,5.65,RU,1725842237
13,purificacion,3.8587,-74.9313,29.55,39,60,2.31,CO,1725842238
14,edinburgh of the seven seas,-37.0676,-12.3116,12.73,75,100,7.68,SH,1725842239
15,blackmans bay,-43.0167,147.3167,12.63,58,100,0.45,AU,1725842241
16,avarua,-21.2078,-159.775,25.03,78,20,5.14,CK,1725842242
17,constantia,44.1833,28.65,16.5,56,0,2.9,RO,1725842243
18,akureyri,65.6835,-18.0878,3.96,75,100,2.57,IS,1725842244
19,invercargill,-46.4,168.35,13.34,69,100,5.36,NZ,1725842245
20,edwards,39.645,-106.5942,23.57,26,100,1.34,US,1725841946
21,iqaluit,63.7506,-68.5145,4.85,75,20,1.54,CA,1725842247
22,jamestown,42.097,-79.2353,12.8,76,40,3.09,US,1725842249
23,margaret river,-33.95,115.0667,14.21,67,100,0.89,AU,1725842250
24,st. john's,47.5649,-52.7093,18.97,96,75,4.63,CA,1725842189
25,hamilton,39.1834,-84.5333,17.23,51,0,0.89,US,1725842061
26,punta arenas,-53.15,-70.9167,1.06,93,40,8.75,CL,1725842063
27,sussex,41.1834,-74.6663,12.23,83,0,0.0,US,1725842050
28,adamstown,-25.066,-130.1015,19.33,84,100,12.56,PN,1725842255
29,port elizabeth,-33.918,25.5701,11.29,78,20,3.6,ZA,1725842173
30,ust-nera,64.5667,143.2,9.33,75,100,1.99,RU,1725842258
31,bethel,41.3712,-73.414,14.47,75,0,2.06,US,1725842050
32,katabu,-4.9333,122.5167,30.11,52,5,3.64,ID,1725842260
33,rockland,41.1668,-74.0496,15.82,78,0,2.1,US,1725842261
34,nova sintra,14.8667,-24.7167,26.72,79,65,6.45,CV,1725842262
35,papatowai,-46.5619,169.4708,12.32,63,100,3.92,NZ,1725842263
36,uturoa,-16.7333,-151.4333,24.98,75,35,8.25,PF,1725842265
37,albany,42.6001,-73.9662,13.23,68,0,3.27,US,1725842266
38,college,64.8569,-147.8028,12.26,82,100,2.06,US,1725842267
39,stanley,54.868,-1.6985,12.38,97,100,5.66,GB,1725842268
40,bredasdorp,-34.5322,20.0403,8.34,84,75,1.43,ZA,1725842269
41,enewetak,11.3474,162.3373,29.07,76,16,7.34,MH,1725842270
42,whitehorse,60.7161,-135.0538,12.28,79,40,0.89,CA,1725842272
43,keflavik,64.0049,-22.5624,4.24,70,20,8.75,IS,1725842273
44,ancud,-41.8697,-73.8203,8.74,88,98,4.83,CL,1725842274
45,haiku-pauwela,20.9219,-156.3051,29.01,66,20,8.75,US,1725842275
46,namdrik,5.5994,168.1028,28.74,76,59,6.52,MH,1725842276
47,rio claro,-22.4114,-47.5614,25.93,27,8,3.36,BR,1725842278
48,hermanus,-34.4187,19.2345,9.76,78,10,4.65,ZA,1725842281
49,utrik,11.2278,169.8474,28.41,79,15,7.58,MH,1725842282
50,ushuaia,-54.8,-68.3,1.81,69,75,8.23,AR,1725842283
51,puerto natales,-51.7236,-72.4875,2.04,76,99,4.7,CL,1725842285
52,west island,-12.1568,96.8225,25.99,78,40,7.72,CC,1725842287
53,klyuchi,52.2667,79.1667,11.8,85,100,2.68,RU,1725842288
54,el bayadh,33.6832,1.0193,19.3,83,77,2.45,DZ,1725842289
55,udachny,66.4167,112.4,8.49,64,67,5.58,RU,1725842092
56,port mathurin,-19.6833,63.4167,21.99,80,7,8.1,MU,1725842291
57,howard springs,-12.497,131.047,29.37,68,34,5.47,AU,1725842292
58,onokhoy,51.932,108.0747,8.74,87,100,6.18,RU,1725842293
59,queenstown,-31.8976,26.8753,5.52,76,100,3.34,ZA,1725842295
60,mbandjok,4.45,11.9,21.11,99,100,1.43,CM,1725842296
61,opuwo,-18.0607,13.84,16.93,33,0,1.93,NA,1725842297
62,lebu,-37.6167,-73.65,8.1,90,94,2.66,CL,1725842298
63,perevolotskiy,51.8763,54.1938,14.79,80,83,0.67,RU,1725842299
64,port macquarie,-31.4333,152.9167,20.6,43,69,0.89,AU,1725842300
65,carnarvon,-24.8667,113.6333,21.29,48,0,4.15,AU,1725842301
66,san antonio de pale,-1.4014,5.6325,24.07,85,100,5.79,GQ,1725842303
67,karatau,43.1667,70.4667,13.26,40,100,2.82,KZ,1725842304
68,qaqortoq,60.7167,-46.0333,5.62,70,100,2.02,GL,1725842305
69,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,44,75,7.0,RU,1725842306
70,yuzha,56.5831,42.0122,12.85,73,3,1.27,RU,1725842307
71,boali,4.8005,18.1275,22.17,93,100,0.96,CF,1725842308
72,lompoc,34.6391,-120.4579,20.23,77,0,5.14,US,1725842310
73,kyzylorda,44.8528,65.5092,7.01,93,40,3.0,KZ,1725842312
74,fale old settlement,-9.3852,-171.2468,28.33,70,0,6.59,TK,1725842313
75,westerland,54.9079,8.3033,17.01,94,75,0.0,DE,1725842045
76,divnogorsk,55.9594,92.3619,10.27,96,100,4.58,RU,1725842315
77,val-d'or,48.1002,-77.7828,7.05,93,100,5.14,CA,1725842177
78,ghanzi,-21.5667,21.7833,17.22,23,0,1.25,BW,1725842318
79,mana,5.6592,-53.7767,26.97,80,3,6.59,GF,1725842319
80,bilibino,68.0546,166.4372,4.9,77,100,1.69,RU,1725842320
81,ikalamavony,-21.15,46.5833,19.01,56,85,1.56,MG,1725842321
82,susuman,62.7833,148.1667,8.13,66,66,0.12,RU,1725842322
83,humaita,-7.5061,-63.0208,28.49,23,4,1.29,BR,1725842323
84,yershov,51.3513,48.2766,19.24,55,89,3.42,RU,1725842324
85,tromso,69.6496,18.957,12.01,87,40,1.03,NO,1725842135
86,naze,28.3667,129.4833,26.51,90,100,8.63,JP,1725842327
87,oriximina,-1.7656,-55.8661,29.32,40,33,1.46,BR,1725842328
88,la passe,45.5549,-0.8967,18.6,85,100,6.8,FR,1725842329
89,wiener neustadt,47.8,16.25,23.38,70,100,4.47,AT,1725842190
90,tazovsky,67.4667,78.7,1.26,74,100,11.48,RU,1725842240
91,saipan,15.1355,145.701,28.39,78,75,3.6,MP,1725842332
92,punta cardon,11.6581,-70.215,29.55,76,96,10.74,VE,1725842334
93,vadso,70.0744,29.7487,16.09,82,100,2.57,NO,1725842335
94,borkum,53.5809,6.6915,17.74,73,100,3.64,DE,1725842336
95,istgah-e rah ahan-e garmsar,35.2346,52.3094,26.09,34,0,1.63,IR,1725842337
96,natal,-5.795,-35.2094,25.36,83,40,4.63,BR,1725842338
97,lata,40.1629,-8.3327,12.47,99,51,0.81,PT,1725842339
98,hithadhoo,-0.6,73.0833,27.94,74,63,3.63,MV,1725842340
99,chos malal,-37.3781,-70.2709,12.9,28,99,1.4,AR,1725842342
100,hawaiian paradise park,19.5933,-154.9731,29.29,65,0,3.6,US,1725842343
101,yellowknife,62.456,-114.3525,19.29,52,75,3.6,CA,1725842344
102,saint-pierre,-21.3393,55.4781,20.82,64,100,2.57,RE,1725842345
103,bafoulabe,13.8065,-10.8321,22.84,97,100,0.43,ML,1725842346
104,viedma,-40.8135,-62.9967,11.86,37,20,2.68,AR,1725842245
105,ulladulla,-35.35,150.4667,20.5,39,0,4.24,AU,1725842350
106,atafu village,-8.5421,-172.5159,28.3,76,16,7.11,TK,1725842352
107,rikaze,29.25,88.8833,13.38,53,100,1.55,CN,1725842353
108,carutapera,-1.195,-46.02,26.12,77,5,5.24,BR,1725842354
109,khagrachhari,23.1,91.9667,25.67,95,69,0.82,BD,1725842355
110,olonkinbyen,70.9221,-8.7187,3.73,90,95,8.51,SJ,1725842357
111,emerald,-23.5333,148.1667,25.19,51,0,2.37,AU,1725842358
112,dhuusamarreeb,5.535,46.3861,24.63,69,100,7.72,SO,1725842359
113,gebeit,21.0667,36.3167,28.6,42,0,2.77,SD,1725842361
114,ariquemes,-9.9133,-63.0408,28.36,27,16,0.52,BR,1725842362
115,ulety,51.3572,112.4849,7.46,92,100,7.69,RU,1725842364
116,salekhard,66.53,66.6019,4.78,69,100,6.07,RU,1725842187
117,essaouira,31.5125,-9.77,22.72,78,20,3.09,MA,1725842366
118,burang,30.25,81.1667,6.95,79,48,1.38,CN,1725842367
119,east london,-33.0153,27.9116,13.68,69,96,6.52,ZA,1725842116
120,luderitz,-26.6481,15.1594,10.51,77,0,8.16,NA,1725842369
121,tangalle,6.024,80.7911,25.85,87,100,5.58,LK,1725842370
122,ruiz,21.95,-105.15,28.45,88,36,2.09,MX,1725842372
123,tosontsengel,48.7567,98.2839,2.28,68,8,1.69,MN,1725842373
124,talnakh,69.4865,88.3972,0.48,98,100,7.34,RU,1725842375
125,newman,37.3138,-121.0208,38.92,23,0,1.79,US,1725842376
126,auki,-8.7676,160.7034,26.32,85,100,2.67,SB,1725842377
127,wailua homesteads,22.0669,-159.378,28.96,66,40,4.63,US,1725842379
128,bhadrakh,21.0528,86.52,27.57,87,100,5.57,IN,1725842380
129,codrington,-38.2667,141.9667,12.21,74,100,5.83,AU,1725842381
130,las lajitas,-24.6833,-64.25,21.42,43,100,2.36,AR,1725842382
131,puerto lempira,15.2667,-83.7667,30.08,66,20,0.0,HN,1725842106
132,basco,20.4487,121.9702,27.94,80,100,3.21,PH,1725842384
133,shimoda,34.6667,138.95,28.67,72,4,4.28,JP,1725842385
134,keelung,25.1283,121.7419,32.78,69,16,3.64,TW,1725842387
135,watseka,40.7762,-87.7364,15.54,71,6,2.58,US,1725842388
136,charters towers,-20.1,146.2667,26.08,42,0,4.3,AU,1725842389
137,georgetown,5.4112,100.3354,25.96,86,20,1.54,MY,1725842332
138,dali,25.7,100.1833,18.47,88,100,1.44,CN,1725842391
139,fada,7.25,4.0667,21.5,98,18,0.99,NG,1725842392
140,demre,36.2537,29.9777,23.62,64,0,1.18,TR,1725842393
141,tara,56.8944,74.371,10.99,97,80,2.01,RU,1725842395
142,tibati,6.4667,12.6333,19.54,98,100,1.82,CM,1725842396
143,puerto ayora,-0.7393,-90.3518,20.86,97,100,3.58,EC,1725842398
144,longyearbyen,78.2186,15.6401,0.91,80,20,4.12,SJ,1725842399
145,vilani,56.5525,26.9245,12.58,70,0,3.58,LV,1725842400
